GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  01/08/2025 au  10/12/2025,,,,
Code Géo :,ANTIBIOTIQUES 1,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
1511601,AARLOFLOX OZ 200MG/500MG B/10,6,0,"2,760",
2278030,"ACLAV 100MG/12,5MG SP F/60ML          ",20,0,"3,270",
2277993,ACLAV 1G/125MG SACH B/12           ,66,4,"5,580",
8179582,ACLAV 1G/125MG SACH B/16,4,2,"7,780",
8179576,"ACLAV 500/62,5MG SACH B/16",8,2,"7,170",
8159473,ACTOVZN KIT CP B/4,3,2,"3,830",
8111555,AFSC 1G/1G/150MG KIT,5,2,"4,990",
8151388,ALFAMOX 1G PDR SUSP BUV SACH B/14,102,4,"3,720",
8155446,ALFAMOX 250MG/5ML PDRE SUSP F/100ML,51,4,"1,930",
8155452,ALFAMOX 500MG PDR SUSP BUV SACH B/14,26,4,"2,650",
2284906,ALTRIM 240MG SUSP BUV F/100ML      ,36,2,"1,880",
8140031,ALTRIM FORTE 960MG CPR B/9,60,2,"1,800",
1211751,AMFOCIN 1G/125MG SACHET B/12,38,2,"6,330",
1565861,AMFOCIN 500/62.5MG P/SUP 30ML,6,1,"2,410",
1565881,AMFOCIN 500/62.5MG PDRE SUSP ORALE F60ML,8,0,"3,445",
1565851,AMFOCIN 500/62.5MG PDRE SUSP ORALE SACH 12,1,2,"4,410",
8182288,AMFOCIN 500MG/62.5 CP B/16,11,3,"4,620",
8182294,AMFOCIN 875/125MG CP B/14,1,1,"6,300",
2263413,AMITRON 500MG GEL B/12             ,6,0,"1,405",
2263407,AMITRON SP 250MG FL/60ML           ,56,0,"1,100",
3392259,AMODEX 125MG PDRE SUSP F/30G       ,131,9,"1,000",
3234537,AMODEX 250MG PDR SIROP FL 60ML     ,116,15,"1,280",
3234520,AMODEX 500MG GELULE BT 12          ,1,1,"1,230",
3183918,AMOXICILLIN AUXILLO 500MG INJ B/1,3,0,500,
3155218,AMOXICILLIN AUXILLO INJ 1GB/1,17,4,600,
1358321,AMOXICILLINE IG DISP 250MG/20,1,1,"2,070",
2293182,AMOXICILLINE TONG 500MG CP/12,16,2,945,
8054194,AMOXICILLINE UBI 125MG PDR F/60ML,643,202,895,
8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,955,115,"1,040",
8137655,AMOXICLAV DENK 1000/125MG SACH B/12,6,2,"6,750",
2288873,AMOXICLAV DENK 1000/125MG SACH B/8,4,2,"4,850",
2291177,AMOXICLAV DENK 500/62.5 CP 2X8,4,2,"4,860",
2252332,AMOXI-DENK 500MG B/20              ,11,2,"2,150",
2035244,AMPIPHAR AMPIC 500MG CPR B/12      ,4,2,"1,100",
2296111,AMPIPHAR-AMPIC.250MG SP FL60ML     ,56,3,"1,330",
1506541,AMPLEX 100MG/12.5MG S BUV 60ML,8,2,"3,060",
1506531,AMPLEX DS 250/31.25 S.BUV 60ML,14,2,"4,140",
8488768,ASMOXIME 200MG CP B/10,1,1,"4,800",
8018991,ASTAPH 125MG SP F/60ML             ,39,3,"2,310",
8034518,ASTAPH 250MG SP F/60ML             ,55,3,"3,330",
8151141,ASTAPH 250MG/5ML FL/100ML,14,3,"4,850",
8151394,ASTAPH 500MG GEL B/24,6,2,"5,300",
8019051,ASTAPH 500MG GELU B/12             ,118,43,"2,720",
8152376,ATMAX 500MG CP B/3,5,3,"5,980",
3439251,AUGMENTIN 100MG ENFT SUSP 60ML     ,16,2,"5,030",
3331401,AUGMENTIN 100MG SUSP BB FL/30ML    ,88,5,"2,850",
3445116,AUGMENTIN 1G SACHET B/12           ,16,2,"7,830",
3533702,AUGMENTIN 500MG CPR PELL B/16      ,43,5,"5,460",
8192080,AZ 500MG CP B/3,2,2,"4,930",
8014693,AZIBACT 500MG CP B/3               ,42,3,"4,170",
003861581,AZIC 500MG CP B/3,1,1,"3,030",
2255052,AZICURE 250MG CP B/6,4,2,"3,750",
2271140,AZICURE 500MG CP B/3,9,2,"4,960",
1353371,AZIK 500MG CP B/3,2,1,"3,750",
8068517,AZIT 200MG PDRE SUSP BUV F/15ML,7,2,"1,870",
8508904,AZIT 500MG CPR PELL SEC B/3,24,3,"3,890",
8411033,AZITHRIN 500MG GEL B/3,5,2,"3,855",
8003475,AZITHRIN DRY PDRE SUSP BUV F/15ML,2,2,"2,790",
8152123,AZITHRO  500MG GELULE B/3         ,112,4,"4,440",
8102384,AZITHRO 100MG PDRE SUSP BUV SACH/3 ,33,1,"1,960",
8102390,AZITHRO 200MG PDRE SUSP BUV SACH/3 ,25,1,"2,760",
8108211,AZITRINE SUSP FL/15ML,1,0,"2,755",
8102444,BACTOCLAV 1G CPR B/12              ,3,2,"3,770",
