GRANDE PHARMACIE DE TANDA,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  01/08/2024 au  10/12/2024,,,,
Code Géo :,CODE INDEFINI ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
5654574D,ADRENALINE 1MG/1ML AMP INJ B/100  (DETAIL),2,0,400,
2264192,ARTESIANE 20MG AMP INJ B/10         ,5,0,"5,460",
6015557,MANIX GEL MASSCHAUF APHRODISIAQUE /200ML,1,0,"7,040",
2292308,OMIZEC CP 20MG B/28                ,1,0,"4,850",
9016304,ZANEXTRA 20/10MG CP B/30,1,0,"14,000",
,,Nombre d'articles :,5,,
Code Géo :,ANTIBIOTIQUES 1,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2278030,"ACLAV 100MG/12,5MG SP F/60ML          ",9,0,"3,270",
2277993,ACLAV 1G/125MG SACH B/12           ,13,4,"5,580",
8179582,ACLAV 1G/125MG SACH B/16,5,2,"7,780",
1334691,ACLAV 500/50MG F/1 IV,2,0,"1,930",
8179576,"ACLAV 500/62,5MG SACH B/16",1,2,"7,170",
2278047,ACLAV 500/62.5MG SACH B/12         ,3,2,"5,535",
8111555,AFSC 1G/1G/150MG KIT,2,2,"4,990",
8151388,ALFAMOX 1G PDR SUSP BUV SACH B/14,27,4,"3,720",
8155446,ALFAMOX 250MG/5ML PDRE SUSP F/100ML,5,4,"1,930",
8155452,ALFAMOX 500MG PDR SUSP BUV SACH B/14,2,4,"2,650",
2284906,ALTRIM 240MG SUSP BUV F/100ML      ,20,2,"1,880",
8140031,ALTRIM FORTE 960MG CPR B/9,42,2,"1,800",
1211751,AMFOCIN 1G/125MG SACHET B/12,36,2,"6,330",
1565861,AMFOCIN 500/62.5MG P/SUP 30ML,4,1,"2,410",
1565881,AMFOCIN 500/62.5MG PDRE SUSP ORALE F60ML,26,0,"3,445",
1565851,AMFOCIN 500/62.5MG PDRE SUSP ORALE SACH 12,3,2,"4,410",
8182288,AMFOCIN 500MG/62.5 CP B/16,4,3,"4,620",
8182294,AMFOCIN 875/125MG CP B/14,3,1,"6,300",
2263413,AMITRON 500MG GEL B/12             ,6,0,"1,405",
2263407,AMITRON SP 250MG FL/60ML           ,52,0,"1,100",
3392259,AMODEX 125MG PDRE SUSP F/30G       ,100,9,"1,000",
3234537,AMODEX 250MG PDR SIROP FL 60ML     ,116,15,"1,280",
3183918,AMOXICILLIN AUXILLO 500MG INJ B/1,5,0,500,
2293182,AMOXICILLINE TONG 500MG CP/12,6,2,945,
8054194,AMOXICILLINE UBI 125MG PDR F/60ML,281,202,895,
8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,627,115,"1,040",
8137655,AMOXICLAV DENK 1000/125MG SACH B/12,10,2,"6,750",
2288873,AMOXICLAV DENK 1000/125MG SACH B/8,2,2,"4,850",
2291177,AMOXICLAV DENK 500/62.5 CP 2X8,5,2,"4,860",
2252332,AMOXI-DENK 500MG B/20              ,6,2,"2,150",
2296111,AMPIPHAR-AMPIC.250MG SP FL60ML     ,20,3,"1,330",
1405551,AMPLEX 1000MG/125MG CPR B/14,1,1,"6,230",
1506531,AMPLEX DS 250/31.25 S.BUV 60ML,1,2,"4,140",
8179458,APEXIME SUSP FL/15ML,2,2,"4,170",
8488745,ASMOFLOX 200MG CP B/20,2,3,"4,100",
8488768,ASMOXIME 200MG CP B/10,1,1,"4,800",
8018991,ASTAPH 125MG SP F/60ML             ,20,3,"2,310",
8034518,ASTAPH 250MG SP F/60ML             ,43,3,"3,330",
8151141,ASTAPH 250MG/5ML FL/100ML,7,3,"4,850",
8151394,ASTAPH 500MG GEL B/24,2,2,"5,300",
8019051,ASTAPH 500MG GELU B/12             ,109,43,"2,720",
8152376,ATMAX 500MG CP B/3,25,3,"5,980",
3439251,AUGMENTIN 100MG ENFT SUSP 60ML     ,12,2,"5,030",
3331401,AUGMENTIN 100MG SUSP BB FL/30ML    ,82,5,"2,850",
3445116,AUGMENTIN 1G SACHET B/12           ,5,2,"7,830",
3533702,AUGMENTIN 500MG CPR PELL B/16      ,22,5,"5,460",
8014693,AZIBACT 500MG CP B/3               ,25,3,"4,170",
003861581,AZIC 500MG CP B/3,2,1,"3,030",
2271565,AZICURE 200MG SUSP FL 15ML,5,2,"4,395",
2255052,AZICURE 250MG CP B/6,1,2,"3,750",
2271140,AZICURE 500MG CP B/3,3,2,"4,960",
1243461,AZIOCIN 500MG CPR BT/3,2,1,"3,600",
8068517,AZIT 200MG PDRE SUSP BUV F/15ML,3,2,"1,870",
8508904,AZIT 500MG CPR PELL SEC B/3,19,3,"3,890",
8152123,AZITHRO  500MG GELULE B/3         ,41,4,"4,440",
8102384,AZITHRO 100MG PDRE SUSP BUV SACH/3 ,29,1,"1,960",
