GRANDE PHARMACIE DE TANDA,,,,,,,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2025 au  10/12/2025,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,980818,LITACOLD CPR DETAIL PL/4           ,,-2,166 F,300 F,,,,0,"3,688"
2,2296105D,AMOXICILLINE CREACIL 500MG B/100X12 GEL  (DETAIL),,63,584 F,900 F,,,,0,"2,391"
3,8163121D,PARACETAMOL CREAT 500MG CP B/12X100  (DETAIL),,34,145 F,250 F,,,,0,"2,206"
4,8342303,PANOL 250MG SP F/60ML              ,,681,485 F,735 F,,,,0,"2,137"
5,3413257,NOVALGIN 500MG CP B/20                 ,,712,"1,322 F","2,030 F",,,,0,"1,998"
6,1445061D,SERINGUE 5CC/100 PEN  (DETAIL),,25,47 F,100 F,,,,1,"1,686"
7,1327191,PARAMED 0.3% SIROP F/100ML,,42,551 F,830 F,,,,0,"1,647"
8,8008722,SANIVER 400MG CP B/1,,96,273 F,440 F,,,,0,"1,562"
9,2264298,BRUSTAN SIROP F/100ML              ,,194,921 F,"1,390 F",,,,0,"1,456"
10,8076190,ARTEFAN 80/480 CP B/6              ,,51,"1,425 F","2,180 F",,,,0,"1,215"
11,8141390,PLUFENTRINE 80/480MG CP B/6,,137,"1,523 F","2,030 F",,,,0,"1,210"
12,1544021D,PARAMED 500MG CP B/1000  (DETAIL),,27,58 F,100 F,,,,0,"1,140"
13,8024081,LITACOLD SP F/100ML                ,,434,748 F,"1,165 F",,,,0,"1,134"
14,8054082D,PARACETAMOL UBI 500MG CP (DETAIL),,56,69 F,200 F,,,,0,"1,096"
15,1280261,PARAMED 500MG CP B/20,,42,198 F,300 F,,,,0,"1,082"
16,489051D,GANT EXAM MAXPRO LATEX MED B/100  (DETAIL),,85,31 F,100 F,,,,1,"1,008"
17,9545504,MAALOX STICK SACH (DETAIL),,-3,108 F,200 F,,,,0,994
18,8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,,99,666 F,"1,040 F",,,,0,971
19,2279058D,DICLOFENAC UBI 75MG INJ 10*10  (DETAIL),,2,23 F,100 F,,,,0,963
20,2256146,PREGNON 1.5MG CP B/1              ,,36,671 F,"1,045 F",,,,0,908
,,,,,,,,,,,"30,492"
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:46 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
