PHARMACIE PROLIFE,,,,,,,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2025 au  10/12/2025,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,8163121D,PARACETAMOL CRE 500 B/12X100  (DETAIL),,12,145 F,250 F,,,,0,"2,561"
2,2296105D,AMOXICIL CREACIL 500 GEL100X12  (DETAIL),,75,584 F,900 F,,,,0,"1,528"
3,8081802D,LITACOLD CP B/20X4  (DETAIL),,9,181 F,300 F,,,,0,"1,498"
4,1656731D,PARACETAMOL CRE 500 BL/100X10  (DETAIL),,36,127 F,200 F,,,,0,"1,258"
5,1208121D,SERINGUE 5CC /100 PEN  (DETAIL),,18,47 F,100 F,,,,1,"1,163"
6,1280261,PARAMED 500MG CP B/20,,87,198 F,300 F,,,,0,"1,117"
7,489051D,GANT EXAMEN MEDIUM B/100  (DETAIL),,98,31 F,100 F,,,,0,984
8,8110900D,FEBRILEX CP B/4 PRES/50  (DETAIL),,47,278 F,500 F,,,,0,750
9,8076190,ARTEFAN 80/480 CP ETUI B/6,,342,"1,423 F","2,150 F",,,,0,728
10,3545504D,MAALOX ME CIT SUSP4.3MLSAC/20  (DETAIL),,19,108 F,200 F,,,,0,707
11,3413257,NOVALGINE 500MG CP B/20,,78,"1,321 F","1,995 F",,,,0,606
12,8151313,SANIVER 400MG CP B/1,,81,273 F,410 F,,,,0,570
13,1530601D,FINIFAT 500MG CP B/100  (DETAIL),,8,138 F,250 F,,,,0,567
14,8141390,PLUFENTRINE 80/480MG CP B/6,,0,"1,523 F","2,300 F",,,,0,562
15,2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,,83,"3,312 F","5,000 F",,,,1,535
16,2292136D,METRONIDAZ QT 500 CP BL/50X10  (DETAIL),,44,291 F,500 F,,,,0,504
17,8090445,ANTALGEX T GEL B/20,,10,"1,305 F","1,970 F",,,,0,476
18,2264447D,DICLO DENK 100 RETARD BL/10X10  (DETAIL),,4,632 F,"1,000 F",,,,0,472
19,2255678,IBEX 200/235/30MG GELU B/24,,36,930 F,"1,410 F",,,,1,471
20,2256146,PREGNON CP B/1,,75,672 F,"1,015 F",,,,1,441
,,,,,,,,,,,"17,498"
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:31 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
