PHARMACIE PROLIFE,,,,,
"DR LEWHE GILDAS STANISLAS ENAGNON
TABAGNE
18 BP 2156 Abj 08 - TEL: 0705490928",,,,,
,LISTE DES PRODUITS VENDUS,,,,
, Période  du  10/12/2025 au  10/12/2025,,,,
Code Géo :,AMPOULES BUVABLES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8169827,DYNAMOGEN AMP BUV B/20,1,19,"4,390",
2297033,MAG 2 AMP BUV SS 10ML B/30 AFR,1,83,"5,000",
,,Nombre d'articles :,2,,
Code Géo :,ANTI PALUDEEN,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8145287,ARTEFAN 40/240 CP BLIST B/6,1,5,"1,720",
8151336,SYNRIAM 150MG/750MG CP B/3,1,13,"3,045",
,,Nombre d'articles :,2,,
Code Géo :,AUTRES COMPRIMES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8127378,AMLOPERIN 5MG/5MG CP B/30,1,2,"8,060",
2270028,CAPTOPRIL DENK 25MG COMP B/20,1,5,"2,070",
2273469,CEFALORAL 200 CP B/10,2,68,"3,925",
2298245,EUCARBON CP B/30,1,2,"3,440",
9001165,IPEPRAZOLE 20MG CP B/14,1,15,"1,790",
3528138,LASILIX 40MG COMP B/30,1,34,"2,740",
1620821,MIOREL GE 4MG GELU B/12   23ME,1,11,"3,210",
7273401,PRIMALAN 10MG CP B/14   AFR,1,8,"4,860",
1326831,PROFENID 100MG CP B/2X15,1,3,"3,910",
8039183,RAPICLAV 1G CP B/14,2,22,"6,700",
3091374,RIBATRAN COMP B/20,1,2,"3,965",
,,Nombre d'articles :,11,,
Code Géo :,AUTRES DETAILS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8518251,BABYCHECK TEST GROSSESSE STYLO,1,95,"1,000",
2270181,CONFIANCE COMP PLAQ/3X28,1,24,"1,230",
1656731D,PARACETAMOL CRE 500 BL/100X10  (DETAIL),2,36,200,
,,Nombre d'articles :,3,,
Code Géo :,AUTRES SIROPS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8151141,ASTAPH 250MG/5ML FL/100ML,1,5,"4,820",
,,Nombre d'articles :,1,,
Code Géo :,BIEN ETRE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
6554768,BROSS/DENT ELGYD STD TR DUR/1,2,4,"2,775",
3482382,ELUDRILPRO SOL + GOB FL/200ML,1,6,"3,470",
1299651,GEL ANTI BACT BLEU 450ML,1,5,"1,250",
,,Nombre d'articles :,3,,
Code Géo :,CREMES ET POMMADES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2016778,BANEOCIN POM T/20G,1,36,"1,820",
,,Nombre d'articles :,1,,
Code Géo :,DEPARASITANTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8423993,ALBENTOX 400MG CP B/3,1,32,"1,445",
,,Nombre d'articles :,1,,
Code Géo :,DETAILS FRIGO,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
3772298D,LANTUS SOLOSTAR 100U 3ML ST/5  (DETAIL),1,3,"10,200",
,,Nombre d'articles :,1,,
Code Géo :,FRIGO,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8107430,RHOCLONE 300MCG PDR+S 2MLAMP/1,1,1,"55,650",
,,Nombre d'articles :,1,,
Code Géo :,LAITS INFANTILES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2264795,NAN 1 BLEU B/400G,1,12,"4,910",
,,Nombre d'articles :,1,,
Code Géo :,MEDICATION FAMILIALE,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
2255678,IBEX 200/235/30MG GELU B/24,1,37,"1,410",
2276060,LIC PARAC 500MG CP B/16,2,42,385,
,,Nombre d'articles :,2,,
Code Géo :,PANSEMENTS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8211972,COMPRESS PUR LABELL 40*40 PQ10,2,56,900,
,,Nombre d'articles :,1,,
Code Géo :,SACHETS,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8130920,ALMAX FORTE SACH PDRE B/30,1,32,"4,410",
,,Nombre d'articles :,1,,
Code Géo :,SIROPS ANTI ANEMIQUE ,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8394820,T-FER SUSP BUV FL/200ML,2,32,"2,080",
,,Nombre d'articles :,1,,
Code Géo :,SOLUTES,,,,
Code,Désignation,Qté vendue,Stock,Prix de vente,
8124368,CITROSYL SPR F/250ML,1,0,"2,580",
,,Nombre d'articles :,1,,
,,,Nombre total d'aticles :,,33
LISTE DES PRODUITS VENDUS -  Imprimé le mercredi 10 décembre 2025 à 11:47 par BORIS EASY,,Page : 1/1,@ 2023 - EasyPharma SWITCH ,,
