GRANDE PHARMACIE DE TANDA,,,,,,,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2023 au  10/12/2023,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,1215771,FERROFIT SP F/200ML,,62,860 F,"1,300 F",,,,0,"3,243"
2,8163121D,PARACETAMOL CREAT 500MG CP B/12X100  (DETAIL),,34,145 F,250 F,,,,0,"2,982"
3,8342303,PANOL 250MG SP F/60ML              ,,681,485 F,735 F,,,,0,"2,977"
4,8054231,AMOXICILLINE UBI 250MG PDR SUSP F/60ML,,99,666 F,"1,040 F",,,,0,"2,561"
5,980818,LITACOLD CPR DETAIL PL/4           ,,-2,166 F,300 F,,,,0,"1,954"
6,1327191,PARAMED 0.3% SIROP F/100ML,,42,551 F,830 F,,,,0,"1,746"
7,1445061D,SERINGUE 5CC/100 PEN  (DETAIL),,25,47 F,100 F,,,,1,"1,698"
8,2296105D,AMOXICILLINE CREACIL 500MG B/100X12 GEL  (DETAIL),,63,584 F,900 F,,,,0,"1,405"
9,2272754D,PARACETAMOL CRE 500BL/100X10  (DETAIL),,78,127 F,200 F,,,,0,"1,128"
10,1530601D,FINIFAT 500MG CP B/100  (DETAIL),,-4,138 F,300 F,,,,0,970
11,3417350,PANADOL 2% SUSP BUV ENF/NOUR FL/90 ,,45,876 F,"1,320 F",,,,0,951
12,2255388,PEDIFEN 100MG/5ML PED SP FL/100ML  ,,5,"1,090 F","1,650 F",,,,0,913
13,1280261,PARAMED 500MG CP B/20,,42,198 F,300 F,,,,0,860
14,1426051D,ALOZOL 400MG CP B/100  (DETAIL),,90,198 F,300 F,,,,0,832
15,1345011,VITA CAC SUSP ORALE B10,,0,"1,040 F","1,570 F",,,,0,824
16,2285627,METRONIDAZOLE 500MG QT CP DETAIL   ,,18,292 F,450 F,,,,0,699
17,3413257,NOVALGIN 500MG CP B/20                 ,,712,"1,322 F","2,030 F",,,,0,674
18,8024081,LITACOLD SP F/100ML                ,,434,748 F,"1,165 F",,,,0,660
19,905404,IBUPROFENE UBI 400MG CPR DETAIL     ,,-4,133 F,300 F,,,,0,618
20,1293551,TRIMOL 240MG/5ML S.BUV 100ML,,3,485 F,730 F,,,,0,615
,,,,,,,,,,,"28,310"
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:49 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
