GRANDE PHARMACIE DE TANDA,,,,,,,,,,,
"DR TCHUERE ALEXIS
TANDA
BP 35 TANDA - 0788203030",,,,,,,,,,,
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES ,,,,,,,,,,,
,, Période  du  01/08/2024 au  10/12/2024,,,,,,,,,
,,,,,,,,Page : 1/1,,,
Rang,Code,Désignation,,Stock,Prix d'achat,Prix de Vente,,,TVA,,Qté vendue
1,980818,LITACOLD CPR DETAIL PL/4           ,,-2,166 F,300 F,,,,0,"3,017"
2,8163121D,PARACETAMOL CREAT 500MG CP B/12X100  (DETAIL),,34,145 F,250 F,,,,0,"1,829"
3,2296105D,AMOXICILLINE CREACIL 500MG B/100X12 GEL  (DETAIL),,63,584 F,900 F,,,,0,"1,612"
4,1445061D,SERINGUE 5CC/100 PEN  (DETAIL),,25,47 F,100 F,,,,1,"1,509"
5,8342303,PANOL 250MG SP F/60ML              ,,681,485 F,735 F,,,,0,"1,431"
6,3413257,NOVALGIN 500MG CP B/20                 ,,712,"1,322 F","2,030 F",,,,0,"1,382"
7,1327191,PARAMED 0.3% SIROP F/100ML,,42,551 F,830 F,,,,0,"1,299"
8,489051D,GANT EXAM MAXPRO LATEX MED B/100  (DETAIL),,85,31 F,100 F,,,,1,"1,069"
9,8008722,SANIVER 400MG CP B/1,,96,273 F,440 F,,,,0,"1,054"
10,8054082D,PARACETAMOL UBI 500MG CP (DETAIL),,56,69 F,200 F,,,,0,"1,004"
11,1280261,PARAMED 500MG CP B/20,,42,198 F,300 F,,,,0,943
12,9996019D,SERINGUE 10CC/100 PEN  (DETAIL),,90,57 F,150 F,,,,0,903
13,1530601D,FINIFAT 500MG CP B/100  (DETAIL),,-4,138 F,300 F,,,,0,829
14,1544021D,PARAMED 500MG CP B/1000  (DETAIL),,27,58 F,100 F,,,,0,818
15,1426051D,ALOZOL 400MG CP B/100  (DETAIL),,90,198 F,300 F,,,,0,728
16,2264298,BRUSTAN SIROP F/100ML              ,,194,921 F,"1,390 F",,,,0,707
17,8024081,LITACOLD SP F/100ML                ,,434,748 F,"1,165 F",,,,0,683
18,9545504,MAALOX STICK SACH (DETAIL),,-3,108 F,200 F,,,,0,652
19,8076190,ARTEFAN 80/480 CP B/6              ,,51,"1,425 F","2,180 F",,,,0,649
20,8110900D,FEBRILEX PLUS CP BLIST X 4    (DETAIL),,23,278 F,450 F,,,,0,635
,,,,,,,,,,,"22,753"
LISTE DES 20 PREMIERS PRODUITS SELON LES QUANTITES VENDUES  -  Imprimé le mercredi 10 décembre 2025 à 15:48 par BORIS EASY,,,,,,,@ 2023 - EasyPharma SWITCH ,,,,
